pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,78.51124970900128,79.49783829200169,79.49783829200169,79.49783829200169,79.49783829200169,79.50712095900235,80.49081662500248,80.49081662500248,c,0,4.0162713329991675,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,0,1,1,1,,,,,84.51371266700153,85.50296250000247,85.50296250000247,85.50296250000247,85.50296250000247,85.51192387500123,86.50658133400066,86.50658133400066,z,0,3.9026856659984333,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,0,2,2,2,,,,,90.41556783400301,91.40831500000058,91.40831500000058,91.40831500000058,91.40831500000058,91.41801975000271,92.40666062500168,92.40666062500168,x,0,5.010499374999199,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,0,3,3,3,,,,,97.42355604200202,98.41816945900064,98.41816945900064,98.41816945900064,98.41816945900064,98.41816945900064,99.4159502500006,99.4159502500006,v,0,4.243534833000012,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,1,0,4,0,,,,,103.66566145900288,104.6577782500026,104.6577782500026,104.6577782500026,104.6577782500026,104.6577782500026,105.65690579200236,105.65690579200236,x,1,45.73656016699897,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,1,1,5,1,,,,,151.4002519170026,152.3928452500004,152.3928452500004,152.3928452500004,152.3928452500004,152.3928452500004,153.39123070900314,153.39123070900314,v,1,5.459502916997735,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,1,2,6,2,,,,,158.85859891700238,159.85342929200124,159.85342929200124,159.85342929200124,159.85342929200124,159.85342929200124,160.8505332090026,160.8505332090026,c,1,8.926612999999634,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,1,3,7,3,,,,,169.78326379200007,170.77625670900306,170.77625670900306,170.77625670900306,170.77625670900306,170.77625670900306,171.77558041700104,171.77558041700104,c,0,0.7692607500030135,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,2,0,8,0,,,,,172.55071829200097,173.55960725000114,173.55960725000114,173.55960725000114,173.55960725000114,173.5697361670027,174.54152479200275,174.54152479200275,x,1,1.3855305420001969,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,2,1,9,1,,,,,175.9338388340002,176.94256979200145,176.94256979200145,176.94256979200145,176.94256979200145,176.95967383400057,177.92478100000153,177.92478100000153,v,1,1.7930549579978106,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,2,2,10,2,,,,,179.7256678340018,180.7200980000016,180.7200980000016,180.7200980000016,180.7200980000016,180.7200980000016,181.71759845900306,181.71759845900306,c,1,1.9097019170003477,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,2,3,11,3,,,,,183.6338437500017,184.64285954200022,184.64285954200022,184.64285954200022,184.64285954200022,184.6597440000005,185.62513575000048,185.62513575000048,z,1,0.8858107920023031,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,3,0,12,0,,,,,186.51771504200224,187.51178054200136,187.51178054200136,187.51178054200136,187.51178054200136,187.5264854590023,188.50854933400115,188.50854933400115,x,1,0.5765763750023325,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,3,1,13,1,,,,,189.09175191699978,190.08675004200268,190.08675004200268,190.08675004200268,190.08675004200268,190.08675004200268,191.08427029200175,191.08427029200175,v,1,0.9179007919992728,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,3,2,14,2,,,,,192.00847216700276,193.003740250002,193.003740250002,193.003740250002,193.003740250002,193.003740250002,194.0009865840002,194.0009865840002,c,1,1.4011908749998838,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,3,3,15,3,,,,,195.40843574999963,196.40320412500296,196.40320412500296,196.40320412500296,196.40320412500296,196.40320412500296,197.4011507920004,197.4011507920004,z,1,0.7669817919995694,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,4,0,16,0,,,,,198.1759270420007,199.17038187500293,199.17038187500293,199.17038187500293,199.17038187500293,199.17038187500293,200.16786470900115,200.16786470900115,x,1,0.6432842909998726,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,4,1,17,1,,,,,200.81791112500287,201.81158537500232,201.81158537500232,201.81158537500232,201.81158537500232,201.82689025000218,202.80876508400252,202.80876508400252,v,1,0.5264666249968286,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,4,2,18,2,,,,,203.34232620900002,204.3365858340003,204.3365858340003,204.3365858340003,204.3365858340003,204.3365858340003,205.3345391670009,205.3345391670009,c,1,0.6584877499990398,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,4,3,19,3,,,,,206.00064187500175,206.9877785839999,206.9877785839999,206.9877785839999,206.9877785839999,206.9965905420031,207.99185041700184,207.99185041700184,z,1,0.5433442499997909,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,5,0,20,0,,,,,208.54289425000024,209.53682308400312,209.53682308400312,209.53682308400312,209.53682308400312,209.53682308400312,210.53496737500245,210.53496737500245,x,1,0.5248091249995923,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,5,1,21,1,,,,,211.06691612500072,212.05477504200098,212.05477504200098,212.05477504200098,212.05477504200098,212.0635565420016,213.05169358400235,213.05169358400235,v,1,0.35836845799713046,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,5,2,22,2,,,,,213.41732716700062,214.4049971250024,214.4049971250024,214.4049971250024,214.4049971250024,214.41388562500288,215.40875487500307,215.40875487500307,c,1,0.8433849999964877,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,5,3,23,3,,,,,216.25894766700003,217.25400812500084,217.25400812500084,217.25400812500084,217.25400812500084,217.25400812500084,218.2513627920016,218.2513627920016,z,1,0.7005774999997811,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,6,0,24,0,,,,,218.9588742090018,219.95381491700027,219.95381491700027,219.95381491700027,219.95381491700027,219.95381491700027,220.95154791700043,220.95154791700043,x,1,0.5251895829969726,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
